##Alpha(50mT) X DEG X DEG
105.56 -0.00016022 124.34 0.13642 -1.0156
109.76 -0.00012207 117.72 0.13642 -0.98438
115.28 -0.00011444 116.73 0.13635 -0.96094
120.24 -6.6758E-5 106.34 0.13635 -0.91407
125.66 -5.1499E-5 102.43 0.13635 -0.9375
130.64 -3.8147E-5 99.594 0.13635 -0.96875
134.96 -2.6703E-5 96.477 0.13635 -0.875
139.98 -1.1444E-5 92.985 0.13629 -0.84375
145.04 -1.3352E-5 93.672 0.13629 -0.98438
150.13 -2.861E-5 97.016 0.13635 -1.0625
155.11 -3.0518E-5 97.891 0.13635 -1
160.13 -1.3352E-5 93.415 0.13635 -0.91407
165.31 -4.7684E-5 101.14 0.13629 -0.88282
170.46 -3.624E-5 98.711 0.13629 -0.91407
175.41 -5.5313E-5 104.02 0.13635 -0.89844
180.5 -0.00012589 118.72 0.13629 -0.90625
185.59 -0.00017166 126.34 0.13629 -0.96094
189.73 -0.00019646 130.53 0.13635 -0.875
195.59 -0.00026131 138.49 0.13635 -0.92969
200.58 -0.00028801 140.49 0.13635 -0.98438
204.76 -0.00032807 144.65 0.13635 -0.89844
210.64 -0.00032807 145.38 0.13635 -1.0234
215.29 -0.00037003 148.2 0.13635 -0.98438
220 -0.00039673 149.88 0.13642 -1
225.07 -0.00040245 150.02 0.13635 -0.96094
230.76 -0.00039673 149.85 0.13635 -0.91407
235.66 -0.00042343 151.21 0.13635 -0.98438
240.44 -0.00040436 150.12 0.13629 -0.91407
245.47 -0.00043679 152.56 0.13635 -0.98438
250.29 -0.00038338 149.51 0.13635 -1
255.27 -0.00037766 148.58 0.13635 -0.96875
260.31 -0.00032234 144.49 0.13642 -0.96094
265.31 -0.00030899 143.32 0.13635 -0.9375
270.42 -0.00025559 137.74 0.13635 -0.85938
275.43 -0.00020599 131.93 0.13642 -1.0859
280.53 -0.00021935 133.5 0.13635 -1.0156
285.7 -0.00015831 124.35 0.13629 -0.84375
289.81 -0.00011253 115.57 0.13635 -0.92969
295.59 -5.5313E-5 103.44 0.13635 -1
299.91 -4.3869E-5 100.74 0.13635 -0.89844
304.84 -5.3406E-5 102.92 0.13642 -0.96094
309.79 -5.7221E-5 104.23 0.13635 -0.96875
315.08 -2.4796E-5 95.868 0.13635 -0.91407
320.33 -4.7684E-5 101.38 0.13635 -0.92969
325.3 -7.6295E-6 91.657 0.13629 -0.82813
330.31 -3.8147E-6 90.844 0.13635 -1
335.64 9.5368E-6 87.524 0.13642 -1.0234
340.66 -1.3352E-5 93.313 0.13635 -0.96094
345.61 -1.5259E-5 94.172 0.13635 -0.89844
350.69 -4.0055E-5 99.876 0.13629 -0.88282
354.75 -9.3461E-5 111.94 0.13629 -0.82813
360.21 -9.1553E-5 112.02 0.13629 -0.94532
