##Alpha(50mT) X DEG X DEG
165.31 0.00031662 31.266 0.13214 -0.72657
170.46 0.00025368 38.102 0.13208 -0.625
175.41 0.00026322 36.75 0.13202 -0.72657
180.5 0.00023079 40.563 0.13202 -0.64063
185.59 0.00015831 49.938 0.13214 -0.88282
189.73 0.00011635 59.032 0.13202 -0.78125
195.59 0.00014496 53.282 0.13208 -0.79688
200.58 0.0001545 50.539 0.13208 -0.82813
204.76 0.00011635 59.946 0.13208 -0.80469
210.64 0.00011826 58.383 0.13202 -0.875
215.29 0.00012779 57.305 0.13214 -0.77344
220 0.00012207 57.555 0.13202 -0.78125
225.07 0.00019646 44.992 0.13208 -0.89844
230.76 0.00023842 38.117 0.13202 -0.8125
235.66 0.00024987 37.821 0.13202 -0.77344
240.44 0.00027657 34.399 0.13202 -0.70313
245.47 0.00032616 31.047 0.13208 -0.82813
250.29 0.00036621 27.899 0.13202 -0.67188
255.27 0.00039101 25.875 0.13202 -0.72657
260.31 0.00043869 23.711 0.13202 -0.78125
265.31 0.00049973 21.633 0.13202 -0.77344
270.42 0.00057984 18.485 0.13208 -0.72657
275.43 0.00057793 18.383 0.13208 -0.75
280.53 0.00061608 16.985 0.13202 -0.71094
285.7 0.00058747 17.602 0.13202 -0.70313
289.81 0.00060845 17.094 0.13202 -0.78125
295.59 0.00058937 17.844 0.13202 -0.88282
299.91 0.000597 17.61 0.13196 -0.72657
304.84 0.00058365 18.235 0.13196 -0.75782
309.79 0.000597 17.266 0.13196 -0.78125
315.08 0.00055695 18.789 0.13196 -0.82813
320.33 0.00055123 18.641 0.13196 -0.82813
325.3 0.00046158 22.008 0.13202 -0.84375
330.31 0.00045014 22.524 0.13196 -0.90625
335.64 0.00042343 24.172 0.13196 -0.875
340.66 0.00038338 25.86 0.13196 -0.94532
345.61 0.0003376 29.094 0.13196 -0.84375
350.69 0.00028801 34.446 0.13196 -0.77344
354.75 0.00023842 38.602 0.13196 -0.88282
360.21 0.00019646 45.235 0.13196 -0.75782
0.2 0.00017357 48.813 0.13196 -0.67969
5.01 0.00016785 49.196 0.13202 -0.70313
9.78 0.00014114 53.852 0.13202 -0.80469
14.66 0.00011444 59.25 0.13208 -0.8125
20.55 9.7275E-5 63.813 0.13202 -0.57032
25.1 0.00012398 57.649 0.13208 -0.82813
29.95 0.00011635 58.078 0.13196 -0.65625
34.87 0.00010681 60.297 0.13202 -0.8125
40.29 0.00014877 51.016 0.13208 -0.82813
45.28 0.00016785 48.703 0.13202 -0.77344
49.72 0.00019646 43.5 0.13202 -0.82813
55.38 0.00020218 43.305 0.13202 -0.78125
60.13 0.00024605 38.992 0.13202 -0.72657
64.95 0.00030518 31.86 0.13208 -0.70313
70.47 0.00031281 31.445 0.13208 -0.72657
75.53 0.00037384 26.766 0.13214 -0.92969
80.51 0.00043488 23.406 0.13208 -0.67188
85.78 0.00050164 21.735 0.13208 -0.67969
89.74 0.00051499 20.672 0.13202 -0.71094
95.07 0.0005703 18.883 0.13202 -0.78125
100.31 0.00057793 18.281 0.13202 -0.74219
105.56 0.00056076 18.938 0.13202 -0.8125
109.76 0.00060273 17.617 0.13202 -0.90625
115.28 0.00061226 16.781 0.13202 -0.80469
120.24 0.00058365 18.531 0.13202 -0.75
125.66 0.00056649 19.039 0.13202 -0.84375
130.64 0.00056649 18.781 0.13202 -0.78125
134.96 0.00054741 19.055 0.13202 -0.85938
139.98 0.00053215 20.297 0.13196 -0.625
145.04 0.00052643 20.313 0.13196 -0.67969
150.13 0.00046349 22.649 0.13196 -0.72657
155.11 0.00046158 22.57 0.13202 -0.80469
160.13 0.00041199 24.977 0.13196 -0.75782
165.31 0.00035477 28.985 0.1319 -0.67969
170.46 0.00029946 33.688 0.13196 -0.84375
175.41 0.00025559 38.383 0.13184 -0.80469
180.5 0.00022888 41.68 0.13196 -0.84375
185.59 0.00017929 48.485 0.13196 -0.78125
189.73 0.00016785 48.946 0.1319 -0.8125
195.59 0.00014305 54.227 0.13196 -0.78125
200.58 0.00015831 50.188 0.13178 -0.55469
204.76 0.00012398 58.071 0.13196 -0.71094
210.64 0.00013924 55.328 0.13196 -0.625
215.29 0.00014496 54.274 0.13184 -0.78125
220 0.00019455 44.992 0.13196 -0.88282
225.07 0.00020981 42.875 0.13184 -0.78907
230.76 0.00025177 37.524 0.13184 -0.70313
235.66 0.0002594 37.453 0.13184 -0.67969
240.44 0.00030709 31.641 0.13184 -0.77344
245.47 0.00032425 30.867 0.13184 -0.75782
250.29 0.00031853 30.828 0.13178 -0.80469
255.27 0.0004158 25.641 0.13184 -0.80469
260.31 0.00046158 22.82 0.13178 -0.74219
265.31 0.00051308 21.125 0.13178 -0.61719
270.42 0.00055123 18.695 0.13184 -0.75782
275.43 0.00056076 18.586 0.13184 -0.74219
280.53 0.00062561 17.281 0.13184 -0.6875
285.7 0.00062371 17.649 0.13184 -0.67188
289.81 0.00063324 16.93 0.13184 -0.84375
295.59 0.00059319 17.852 0.13184 -0.85938
299.91 0.00061035 17.82 0.13184 -0.80469
304.84 0.00061417 17.024 0.13178 -0.875
309.79 0.00057602 17.985 0.13178 -0.82813
315.08 0.00055695 19.094 0.13184 -0.71094
320.33 0.0005436 19.211 0.1319 -0.78125
325.3 0.0005188 20.063 0.13184 -0.78907
330.31 0.00047112 22.289 0.13184 -0.8125
335.64 0.00046158 22.617 0.13178 -0.78907
340.66 0.00039482 26.367 0.13172 -0.78907
345.61 0.00037956 26.758 0.13178 -0.82813
350.69 0.00031662 31.485 0.13178 -0.72657
354.75 0.00028229 33.766 0.13178 -0.71094
360.21 0.00023651 38.758 0.13184 -0.74219
