##Alpha(207mT) X DEG X DEG
110.74 -0.0017853 99.43 0.51624 -5.461
115.67 -0.0017586 99.274 0.51612 -5.5235
120.83 -0.0018616 99.86 0.516 -5.5391
124.87 -0.0019264 100.17 0.51581 -5.6094
129.94 -0.0019684 100.42 0.51581 -5.6641
134.97 -0.0018044 99.524 0.51587 -5.6328
140.15 -0.0018463 99.836 0.51563 -5.7422
145.31 -0.0016518 98.766 0.51569 -5.8672
150.33 -0.0015259 98.157 0.51587 -5.7813
155.35 -0.0013657 97.274 0.51569 -5.8282
160.41 -0.001133 96.063 0.51587 -5.6641
165.43 -0.00087357 94.657 0.51618 -5.5391
170.55 -0.00063324 93.399 0.51618 -5.4063
175.58 -0.00045395 92.415 0.51636 -5.2188
180.67 -0.0001297 90.672 0.51673 -5.1016
185.75 0.00014114 89.243 0.51685 -5.0235
189.81 0.00038147 87.915 0.51685 -4.9922
195.65 0.00060273 86.766 0.51722 -4.836
200.44 0.00074768 86.001 0.51716 -4.8672
205.23 0.00091553 85.102 0.51722 -4.8125
210.07 0.00099183 84.633 0.51709 -4.8828
215.02 0.0010071 84.618 0.51728 -4.7969
220.8 0.0010338 84.493 0.51728 -4.8125
225.5 0.00093461 84.969 0.51728 -4.7813
230.33 0.00091935 85.086 0.51722 -4.8594
235.29 0.00068283 86.391 0.51734 -4.6719
240.1 0.00063324 86.657 0.51722 -4.7657
244.97 0.00047684 87.438 0.51722 -4.7891
249.86 0.00023651 88.727 0.51709 -4.8516
254.93 3.4332E-5 89.821 0.51691 -5.0703
259.85 -0.00027847 91.438 0.51667 -5.0782
265.19 -0.00057984 93.032 0.51648 -5.1407
270.38 -0.00083542 94.391 0.51642 -5.2422
275.55 -0.001091 95.751 0.5163 -5.25
280.55 -0.0012016 96.297 0.51593 -5.5313
285.57 -0.0014725 97.704 0.51593 -5.4766
290.77 -0.0015831 98.313 0.51581 -5.4844
295.75 -0.0016747 98.805 0.51551 -5.6641
299.81 -0.0018234 99.579 0.51557 -5.6875
304.92 -0.0017128 98.954 0.51563 -5.586
310 -0.0016861 98.797 0.51563 -5.7032
315.24 -0.0016441 98.602 0.51551 -5.7422
320.32 -0.0015831 98.305 0.51539 -5.875
325.41 -0.0014801 97.813 0.51532 -5.875
330.43 -0.0013771 97.274 0.51545 -5.7969
335.31 -0.0011635 96.165 0.51532 -5.8516
340.56 -0.0010338 95.516 0.51557 -5.7422
345.36 -0.00081253 94.329 0.51557 -5.6172
350.51 -0.0006218 93.274 0.51587 -5.3907
355.65 -0.00033951 91.79 0.51624 -5.3047
360.33 -5.3406E-5 90.297 0.5163 -5.1797
