##Alpha(50mT) X DEG X DEG
350.69 0.00071717 86.461 0.45197 -1.1797
354.75 0.00082779 85.899 0.45209 -1.2109
360.21 0.00083924 85.813 0.45209 -1.1953
0.2 0.00084305 85.797 0.45221 -1.1797
5.01 0.00072861 86.383 0.45209 -1.2422
9.78 0.00084305 85.829 0.45215 -1.25
14.66 0.00092316 85.407 0.45203 -1.2266
20.55 0.00084305 85.829 0.45197 -1.2266
25.1 0.00082779 85.915 0.45209 -1.2422
29.95 0.00096131 85.243 0.45215 -1.2578
34.87 0.00094986 85.251 0.45209 -1.2109
40.29 0.00097657 85.157 0.45215 -1.2422
45.28 0.00094986 85.305 0.45197 -1.1953
49.72 0.0010071 84.969 0.45191 -1.2422
55.38 0.0010338 84.868 0.45191 -1.2109
60.13 0.00097275 85.204 0.45197 -1.1797
64.95 0.0010414 84.836 0.45203 -1.1953
70.47 0.0010452 84.758 0.45191 -1.1875
75.53 0.0010529 84.774 0.45203 -1.1875
80.51 0.00099183 85.094 0.45215 -1.2188
85.78 0.0010262 84.899 0.45203 -1.2188
89.74 0.00094223 85.29 0.45203 -1.1797
95.07 0.00095368 85.29 0.45215 -1.1719
100.31 0.00092316 85.461 0.45221 -1.2109
105.56 0.00092316 85.43 0.45221 -1.1641
109.76 0.00083542 85.844 0.45209 -1.2109
115.28 0.00092316 85.469 0.45227 -1.2188
120.24 0.00092698 85.368 0.45227 -1.1484
125.66 0.00082398 85.876 0.45221 -1.1719
130.64 0.00086976 85.665 0.45221 -1.2109
134.96 0.00078583 86.126 0.45215 -1.1953
139.98 0.00081253 85.954 0.45215 -1.1797
145.04 0.00073624 86.329 0.45221 -1.2422
150.13 0.00076294 86.266 0.45209 -1.2656
155.11 0.00078202 86.133 0.45203 -1.2422
160.13 0.00076676 86.18 0.45221 -1.2422
165.31 0.00083542 85.899 0.45221 -1.2188
170.46 0.00091553 85.485 0.45239 -1.2031
175.41 0.00092698 85.36 0.45233 -1.2266
180.5 0.00082779 85.876 0.45233 -1.2344
185.59 0.00089646 85.586 0.45239 -1.2422
189.73 0.00089646 85.524 0.45227 -1.2344
195.59 0.0009079 85.461 0.45233 -1.1484
200.58 0.00089646 85.571 0.45215 -1.2188
204.76 0.00095368 85.313 0.45227 -1.1797
210.64 0.00103 84.868 0.45227 -1.2031
215.29 0.0010071 84.977 0.45227 -1.1797
220 0.0010529 84.782 0.45221 -1.2344
225.07 0.0010376 84.86 0.45209 -1.1953
230.76 0.00099183 85.094 0.45227 -1.2188
235.66 0.00099183 85.126 0.45215 -1.2188
240.44 0.00099564 85.071 0.45203 -1.1641
245.47 0.00094986 85.282 0.45215 -1.2422
250.29 0.00087738 85.649 0.45227 -1.2109
255.27 0.00096512 85.251 0.45203 -1.2266
260.31 0.00094986 85.282 0.45203 -1.2266
265.31 0.00081253 85.954 0.45203 -1.2266
270.42 0.00076294 86.188 0.45197 -1.125
275.43 0.00083924 85.829 0.45215 -1.1953
280.53 0.00083924 85.79 0.45215 -1.1641
285.7 0.00068283 86.594 0.45203 -1.1953
289.81 0.00069046 86.571 0.45221 -1.1094
295.59 0.00070572 86.469 0.45227 -1.1719
299.91 0.00068665 86.54 0.45215 -1.1484
304.84 0.00070954 86.501 0.45209 -1.1484
309.79 0.00063324 86.876 0.45221 -1.2109
315.08 0.00067902 86.594 0.45221 -1.1406
320.33 0.00066376 86.688 0.45221 -1.2344
325.3 0.00067139 86.704 0.45227 -1.1406
330.31 0.00072098 86.391 0.45221 -1.1406
335.64 0.00071335 86.415 0.45215 -1.0938
340.66 0.00066376 86.704 0.45233 -1.1719
345.61 0.00073243 86.368 0.45239 -1.1641
350.69 0.00081253 85.938 0.45252 -1.1641
354.75 0.00068665 86.571 0.45227 -1.1953
360.21 0.00068283 86.626 0.45221 -1.1797
